'sample #','col 0'
511,111
512,110
513,110
514,108
515,108
516,106
517,105
518,104
519,101
520,100
521,99
522,97
523,97
524,96
525,97
526,96
527,94
528,95
529,94
530,92
531,92
532,93
533,92
534,93
535,94
536,92
537,91
538,91
539,92
540,92
541,93
542,93
543,93
544,92
545,90
546,92
547,91
548,90
549,91
550,92
551,93
552,92
553,94
554,94
555,91
556,91
557,94
558,91
559,90
560,93
561,91
562,89
563,92
564,91
565,92
566,92
567,92
568,93
569,91
570,92
571,93
572,94
573,92
574,91
575,91
576,93
577,94
578,92
579,91
580,93
581,92
582,92
583,92
584,93
585,92
586,90
587,91
588,93
589,94
590,94
591,92
592,94
593,92
594,91
595,92
596,92
597,90
598,90
599,91
600,93
601,90
602,92
603,93
604,92
605,92
606,94
607,92
608,91
609,94
610,90
611,92
612,94
613,92
614,89
615,90
616,91
617,92
618,93
619,92
620,91
621,90
622,91
623,91
624,92
625,91
626,91
627,91
628,90
629,90
630,91
631,91
632,92
633,93
634,92
635,90
636,94
637,93
638,90
639,93
640,92
641,91
642,91
643,91
644,90
645,91
646,91
647,90
648,90
649,93
650,94
651,93
652,93
653,94
654,94
655,95
656,93
657,96
658,97
659,97
660,96
661,97
662,97
663,95
664,95
665,92
666,91
667,92
668,93
669,91
670,90
671,94
672,93
673,93
674,92
675,91
676,90
677,91
678,91
679,91
680,94
681,92
682,89
683,89
684,91
685,91
686,93
687,95
688,103
689,107
690,109
691,113
692,116
693,115
694,104
695,99
696,92
697,81
698,79
699,80
700,79
701,83
702,86
703,89
704,92
705,94
706,92
707,95
708,96
709,96
710,94
711,92
712,95
713,94
714,94
715,92
716,93
717,94
718,93
719,93
720,96
721,95
722,94
723,95
724,94
725,95
726,96
727,96
728,98
729,93
730,96
731,96
732,96
733,97
734,98
735,98
736,98
737,96
738,98
739,98
740,99
741,97
742,96
743,98
744,100
745,100
746,100
747,98
748,99
749,102
750,99
751,100
752,101
753,102
754,102
755,102
756,104
757,106
758,109
759,106
760,105
761,104
762,108
763,110
764,112
765,110
766,111
767,110
768,113
769,112
770,112
771,112
772,111
773,110
774,110
775,111
776,106
777,108
778,108
779,107
780,103
