      Time   Sample #  Type  Sub Chan  Num	Aux
    0:00.832      208     (    0    0    0
    0:00.864      216     p    0    0    0
    0:00.880      220     )    0    0    0
    0:00.944      236     (    0    0    1
    0:01.004      251     N    0    0    0
    0:01.104      276     )    0    0    1
    0:01.224      306     (    0    0    2
    0:01.304      326     t    0    0    5
    0:01.496      374     t    0    0    5
    0:01.520      380     )    0    0    2
